# SentiWordNet users' feedback
# Release: 13 May 2013
# More information and contact: http://sentiwordnet.isti.cnr.it/
# License: http://creativecommons.org/licenses/by-sa/4.0/
#
# count	synsetId	synsetPOS	swnPositivity	swnNegativity	feedbackPositivity	feedbackNegativity	date	IPanon	IPcountry	list(word#sense)
58	1576551	a	0.25	0.125	0.625	0.25	2010-09-09	IP19	VN	miraculous#1 marvelous#3 marvellous#2
59	1576551	a	0.25	0.125	0.25	0.125	2010-09-09	IP3	IT	miraculous#1 marvelous#3 marvellous#2
60	1123148	a	0.75	0	0.875	0	2010-09-26	IP20	CN	good#1
61	57388	r	0	0	0	0	2010-09-26	IP20	CN	thoroughly#2 soundly#2 good#2
62	1207609	n	0.5	0	0.5	0	2010-09-26	IP20	CN	help#1 assistance#1 assist#1 aid#2
63	2318403	v	0	0.125	0.25	0	2010-10-11	IP21	AU	fail#9
64	2318403	v	0	0.125	0	0.125	2010-10-11	IP3	IT	fail#9
65	560247	v	0	0.125	0	0.125	2010-10-11	IP3	IT	run_out#7 give_out#3 fail#10
66	2522319	v	0	0.125	0	0.125	2010-10-11	IP3	IT	fail#8
67	2523521	v	0	0.125	0	0.125	2010-10-11	IP3	IT	flush_it#1 flunk#1 fail#7 bomb#2
68	2529284	v	0	0.125	0	0.125	2010-10-11	IP3	IT	neglect#2 fail#1
69	1713250	a	0.75	0.25	0.75	0.25	2010-10-13	IP22	FR	unpainful#1 pain-free#1
70	646890	a	0	0.75	0	0.75	2010-10-13	IP22	FR	overcredulous#1
71	1534282	a	0	0.75	0	0.75	2010-10-13	IP22	FR	usurious#1 unconscionable#2 steep#2 outrageous#2 extortionate#1 exorbitant#1
72	1561280	a	0.25	0	0.25	0	2010-10-15	IP23	xx	heartwarming#1
73	11093	r	0.375	0	0.375	0	2010-10-16	IP24	CN	well#1 good#1
74	725227	a	0	0.5	0	0.5	2010-10-21	IP25	xx	temperamental#3 erratic#3
75	2127509	a	0	0.25	0	0.25	2010-10-21	IP25	xx	wandering#3 planetary#3 erratic#2
76	2229324	a	0	0.75	0	0.75	2010-10-21	IP25	xx	incompetent#3 fumbling#1 clumsy#4 bungling#1
77	844254	n	0	0	0.875	0	2010-11-05	IP26	DE	sexual_practice#1 sexual_activity#1 sex_activity#1 sex#1
78	350621	a	0.25	0	0.5	0	2010-11-08	IP27	BE	adjusted#1
79	7361576	n	0	0	0	1	2010-11-16	IP28	MT	violent_death#1 killing#1
80	1123148	a	0.75	0	0.875	0	2010-11-18	IP29	BR	good#1
81	14857151	n	0	0	0	0	2010-11-22	IP30	PT	scraps#1 refuse#1 garbage#1 food_waste#1
82	621524	a	0	0.875	0	0.875	2010-11-24	IP3	IT	reprobate#1 perverted#3 perverse#3 depraved#1
83	1818820	a	0	0.375	0	0.375	2010-11-24	IP3	IT	perverse#1
84	641944	a	0	0.625	0	0.625	2010-11-24	IP3	IT	unmannerly#1 unmannered#1 rude#1 ill-mannered#1 bad-mannered#1
85	1361705	a	0.75	0	0.75	0	2010-11-24	IP3	IT	gladsome#1
86	2879535	a	0	0	0	0	2010-11-24	IP3	IT	extralinguistic#1
87	6214020	n	0	0	0	0	2010-12-09	IP31	IT	autocracy#2
88	12001294	n	0	0	0	0	2010-12-10	IP32	IN	wild_quinine#1 prairie_dock#1 parthenium_integrifolium#1 american_feverfew#1
89	11451310	n	0	0	0	0	2010-12-13	IP33	NL	hertzian_wave#1
90	15018169	n	0	0	0	0	2010-12-13	IP33	NL	obidoxime_chloride#1
91	1247684	v	0.25	0.5	0.25	0.5	2010-12-13	IP34	xx	squeak_through#1 squeak_by#2
92	138217	v	0.75	0	0.75	0	2010-12-13	IP35	xx	redound#3
93	7272807	n	0	0	0	0	2010-12-14	IP36	CN	dog_tag#1
94	775611	a	0.75	0	0.75	0	2010-12-14	IP37	xx	good#21
95	11949015	n	0	0	0	0	2010-12-16	IP38	KR	yellow_star-thistle#1 centaurea_solstitialis#1 barnaby&#039;s_thistle#1
96	4768309	n	0	0	0	0	2010-12-16	IP39	xx	nodal_rhythm#1 atrioventricular_nodal_rhythm#1
97	5412242	n	0	0	0	0	2010-12-20	IP3	IT	rh#3 releasing_hormone#2 releasing_factor#2 hypothalamic_releasing_hormone#1 hypothalamic_releasing_factor#1
98	10736091	n	0	0	0	0	2010-12-20	IP3	IT	uncle#1
99	1486050	v	0	0	0	0	2010-12-20	IP3	IT	pouch#1
100	6333478	n	0	0	0	0	2010-12-20	IP3	IT	temporal_role#1 temporal#1
101	3021858	n	0	0	0	0	2010-12-20	IP3	IT	chloromycetin#1 chloramphenicol#1
102	4436832	n	0	0	0	0	2010-12-20	IP3	IT	time_bomb#2 infernal_machine#1
103	10546202	n	0.125	0	0.125	0	2010-12-20	IP3	IT	sage#1
104	6548110	n	0	0	0	0	2010-12-20	IP3	IT	lettre_de_cachet#1 cachet#2
105	14799244	n	0	0	0	0	2010-12-20	IP3	IT	abrasive_material#1 abrasive#1 abradant#1
106	13448622	n	0	0	0	0	2010-12-22	IP40	PK	chlorination#1
107	2081114	a	0.375	0	0	0.875	2010-12-22	IP41	IN	okay#1 ok#1 o.k.#1 hunky-dory#1 fine#1 all_right#1
108	2224509	a	0	0	0	0	2010-12-23	IP42	IN	sorted#1
109	12185859	n	0	0	0	0	2010-12-23	IP42	IN	radyera_farragei#1 hibiscus_farragei#1 bush_hibiscus#1
110	2118333	n	0	0	0	0	2010-12-23	IP42	IN	fox#1
111	10832251	n	0	0	0	0	2010-12-23	IP43	xx	james_baldwin#1 james_arthur_baldwin#1 baldwin#1
112	8455037	n	0	0	0	0	2010-12-23	IP44	ES	mercantile_law#1 law_merchant#1 commercial_law#1
113	2620550	a	0	0	0.75	0.125	2010-12-23	IP45	IN	analytic#1
114	225119	r	0	0	0	0.5	2010-12-23	IP45	IN	finitely#1
115	4166553	n	0	0	0.375	0.625	2010-12-23	IP46	IN	sedative_drug#1 sedative#1 downer#1 depressant#1
116	4821277	n	0.75	0	0.75	0	2010-12-23	IP46	IN	coherency#2 coherence#2
117	11680596	n	0	0	0	0	2010-12-23	IP46	IN	pollen_tube#1
118	954576	a	0.125	0	0.125	0.75	2010-12-23	IP46	IN	purple-eyed#1
119	2669723	n	0	0.125	0	0	2010-12-23	IP46	IN	judge&#039;s_robe#1 academic_robe#1 academic_gown#1
120	3949924	n	0	0	0	0	2010-12-27	IP47	IN	pit#6
121	3637181	n	0	0	0	0	2010-12-27	IP47	IN	lamppost#1
122	15072857	n	0	0	0.125	0.125	2010-12-29	IP48	HK	thymine#1 t#1
123	15072857	n	0	0	0.125	0.125	2010-12-29	IP48	HK	thymine#1 t#1
124	5142180	n	0.625	0	0.75	0	2011-01-04	IP49	xx	goodness#1 good#3
125	6769670	n	0	0	0.75	0	2011-01-04	IP50	NL	typographical_error#1 typo#1 misprint#1 literal_error#1 literal#1 erratum#1
126	293528	v	0.125	0	0.625	0	2011-01-04	IP50	NL	window-dress#1 dress_up#2
127	12141495	n	0	0	0	0	2011-01-04	IP50	NL	cereal_grass#1 cereal#1
128	14881759	n	0	0	0	0	2011-01-04	IP50	NL	soft_glass#1
129	1170243	a	0.75	0	0.75	0	2011-01-04	IP50	NL	healthy#1
130	1123148	a	0.75	0	0.875	0	2011-01-04	IP51	xx	good#1
131	12904720	n	0	0	0	0	2011-01-06	IP52	IN	lycium#1 genus_lycium#1
132	2393161	n	0	0.25	0	0.25	2011-01-06	IP53	GB	diceros_bicornis#1 black_rhinoceros#1
133	1162267	a	0	0.75	0	0.75	2011-01-07	IP54	PT	ill#2
134	11148259	n	0	0	0	0	2011-01-09	IP55	IE	macleod#1 john_macleod#1 john_james_rickard_macleod#1
135	13880415	n	0	0	0	0	2011-01-12	IP56	CN	obtuse_triangle#1 obtuse-angled_triangle#1
136	2863464	a	0.5	0.25	0.5	0.25	2011-01-12	IP57	UA	mystical#2 mystic#2
137	1300437	v	0	0	0	0.75	2011-01-12	IP57	UA	shroud#3
138	5938400	n	0.625	0	0.625	0	2011-01-12	IP57	UA	pilot#4 original#2 archetype#1
139	13763626	n	0	0	0.75	0	2011-01-12	IP57	UA	skeleton#1
140	603039	a	0	0.375	0	0.375	2011-01-12	IP57	UA	unquestioned#1 undisputed#1 unchallenged#1
141	2280333	a	0.5	0	0.5	0	2011-01-12	IP57	UA	racy#1 lively#2
142	442255	a	0	0	0	0	2011-01-12	IP57	UA	levorotatory#1 levorotary#1 left-handed#4
143	967780	n	0	0	0	0	2011-01-12	IP57	UA	bw#1 biological_warfare#1 biological_attack#1 biologic_attack#1 bioattack#1
144	6864524	n	0	0	0	0	2011-01-12	IP57	UA	time_signature#1 musical_time_signature#1
145	493308	n	0	0	0	0	2011-01-12	IP3	IT	stops#1 newmarket#2 michigan#3 chicago#2 boodle#2
146	2187150	n	0	0	0	0	2011-01-12	IP3	IT	dog_flea#1 ctenocephalides_canis#1
147	4322531	n	0	0	0	0	2011-01-12	IP3	IT	stockade#1
148	2887741	a	0	0	0	0	2011-01-12	IP3	IT	copulatory#1 coital#1
149	11136973	n	0	0	0	0	2011-01-12	IP3	IT	sir_oliver_lodge#1 sir_oliver_joseph_lodge#1 lodge#1
150	906664	n	0	0	0	0	2011-01-12	IP3	IT	pyelography#1
151	1566038	v	0	0.375	0	0.375	2011-01-12	IP3	IT	shipwreck#4
152	8405124	n	0	0	0	0	2011-01-12	IP3	IT	headquarters_staff#1
153	156117	r	0	0.125	0	0.125	2011-01-12	IP3	IT	by_fits_and_starts#1
154	385822	r	0	0	0	0	2011-01-12	IP3	IT	landwards#1 landward#1
155	228173	a	0.75	0	0.75	0	2011-01-12	IP3	IT	top-quality#1 top-grade#1 high-grade#1
156	8732979	n	0	0	0	0	2011-01-12	IP3	IT	capital_of_colombia#1 bogota#1
157	980779	n	0	0	0	0	2011-01-12	IP3	IT	rollback#1 push_back#1
158	2264752	v	0	0	0	0	2011-01-12	IP3	IT	credit#3
159	2104365	n	0	0	0	0	2011-01-12	IP3	IT	schipperke#1
160	2367032	v	0	0.25	0	0.25	2011-01-12	IP3	IT	vacate#1 resign#1 renounce#2 give_up#7
161	1923720	a	0	0.75	0	0.625	2011-01-13	IP58	xx	turbulent#1 tumultuous#1 troubled#2 riotous#2 disruptive#1
162	776732	n	0	0.25	0	0	2011-01-13	IP59	RU	peculation#1 misappropriation#1 misapplication#2 embezzlement#1 defalcation#2
163	776732	n	0	0.25	0	0	2011-01-13	IP59	RU	peculation#1 misappropriation#1 misapplication#2 embezzlement#1 defalcation#2
164	792991	a	0	0.25	0.125	0.5	2011-01-13	IP59	RU	subordinate#1 low-level#2
165	792991	a	0	0.25	0.125	0.5	2011-01-13	IP59	RU	subordinate#1 low-level#2
166	4976952	n	0	0	0	0	2011-01-13	IP59	RU	skin_colour#1 skin_color#1 complexion#1
167	10109985	n	0.125	0	0.125	0	2011-01-17	IP60	IT	freedwoman#1 freedman#1
168	1918984	a	0.25	0	0.25	0.75	2011-01-17	IP61	IT	quiet#2
169	776732	n	0	0.25	0	0.25	2011-01-17	IP3	IT	peculation#1 misappropriation#1 misapplication#2 embezzlement#1 defalcation#2
170	792991	a	0	0.25	0	0.25	2011-01-17	IP3	IT	subordinate#1 low-level#2
171	730470	a	0	0.125	0	0.125	2011-01-17	IP3	IT	subordinate#3 dependent#3
172	659535	v	0	0.25	0	0.25	2011-01-17	IP3	IT	subordinate#1
173	579712	v	0	0.125	0	0.125	2011-01-17	IP3	IT	subordinate#2 subdue#5
174	1969038	a	0	0	0.75	0.125	2011-01-18	IP62	AT	fortnightly#1 biweekly#1
175	2299189	a	0.25	0.125	0.375	0.125	2011-01-19	IP63	CH	starchlike#1 farinaceous#1 amyloidal#1 amyloid#1 amylaceous#1
176	1116980	v	0.5	0.5	0.5	0.5	2011-01-19	IP64	IN	stand_out#4
177	10332385	n	0	0	0.25	0.625	2011-01-20	IP65	IL	mother#1 female_parent#1
178	6294441	n	0	0	0	0	2011-01-24	IP66	xx	neology#1 neologism#1 coinage#2
179	245059	v	0	0.25	0	0.25	2011-01-24	IP66	xx	slack_off#1 slack#7 let_up#1 die_away#1 abate#2
180	11203287	n	0	0	0	0	2011-01-27	IP67	xx	walther_hermann_nernst#1 nernst#1
181	10370122	n	0	0	0	0	2011-01-27	IP67	xx	oceanographer#1
182	10334335	n	0	1	0	1	2011-01-27	IP67	xx	motormouth#1
183	11830045	n	0	0	0	0	2011-01-28	IP68	DK	nettleleaf_goosefoot#1 nettle-leaved_goosefoot#1 chenopodium_murale#1
184	7519253	n	0	0.875	0	0.875	2011-01-29	IP69	SG	fright#1 fearfulness#1 fear#1
185	7521039	n	0.5	0	0.375	0.625	2011-01-29	IP69	SG	veneration#1 reverence#1 fear#3 awe#2
186	9696280	n	0	0	0	0	2011-01-30	IP70	RO	kampuchean#1 cambodian#1
187	9696280	n	0	0	0	0	2011-01-30	IP70	RO	kampuchean#1 cambodian#1
188	2231998	a	0.25	0	0.375	0	2011-02-01	IP71	AU	plushy#1 plush-like#1
189	3294	r	0.375	0.25	0.375	0.25	2011-02-01	IP71	AU	anisotropically#1
190	7307297	n	0.5	0	0.5	0	2011-02-01	IP71	AU	idyll#1
191	5031849	n	0.25	0	0.25	0	2011-02-01	IP71	AU	soundness#3 firmness#1
192	3719560	n	0	0	0	0	2011-02-01	IP71	AU	mantilla#2 mantelet#2
193	7520612	n	0.25	0.75	0.25	0.75	2011-02-02	IP72	xx	terror#1 panic#1 affright#1
194	1945139	a	0	0.5	0	0.5	2011-02-03	IP73	AU	senseless#1 reasonless#1 mindless#5
195	572534	a	0	0.375	0	0.375	2011-02-03	IP73	AU	senseless#2 insensible#4
196	2503305	a	0	0.625	0	0.625	2011-02-03	IP73	AU	wasted#1 superfluous#1 senseless#3 purposeless#2 pointless#2 otiose#1
197	732576	n	0	1	0	1	2011-02-04	IP74	xx	shitwork#1 scut_work#1
198	2182109	v	0	0	0.375	0.25	2011-02-04	IP75	IN	buzz#1 bombinate#1 bombilate#1
199	2054989	v	0.25	0	0.25	0	2011-02-04	IP75	IN	unfold#3 stretch_out#1 stretch#3 extend#11
200	229487	a	1	0	1	0	2011-02-06	IP76	NL	unsurpassable#1
201	2357810	a	0.75	0.25	0.75	0.25	2011-02-06	IP76	NL	stunned#1 astounded#1 astonished#1 astonied#1 amazed#1
202	2374914	a	0.375	0.25	0.375	0.25	2011-02-06	IP76	NL	sympathetic#2
203	7101406	n	0	0	0	0	2011-02-09	IP77	PH	antithesis#2
204	6757771	n	0.25	0.125	0.25	0.125	2011-02-09	IP77	PH	white_lie#1
205	16240	r	0.125	0.25	0.625	0.25	2011-02-09	IP78	NL	badly#6 bad#2
206	1594146	a	0	0	0	0	2011-02-09	IP79	BR	mean#1 average#1
207	2208143	n	0	0	0	0.75	2011-02-10	IP80	AU	genus_apis#1 apis#1
208	3985881	n	0	0	0	0	2011-02-10	IP81	IN	portcullis#1
209	3567474	n	0	0	NaN	0	2011-02-13	IP82	TW	independence_hall#1
210	1426397	v	0.375	0.125	0	0.75	2011-02-14	IP83	xx	sleep_with#1 sleep_together#1 screw#1 roll_in_the_hay#1 make_out#6 make_love#1 love#4 lie_with#1 know#8 jazz#2 hump#2 have_sex#1 have_it_off#1 have_it_away#1 have_intercourse#1 have_a_go_at_it#1 get_laid#1 get_it_on#1 fuck#1 eff#1 do_it#1 bonk#1 bed#4 be_intimate#1 bang#5
211	2364840	n	0	0	0	0.25	2011-02-14	IP84	HU	wild_cavy#1 cavia_porcellus#1 aperea#1
212	1475160	a	0.625	0	0.625	0.125	2011-02-14	IP84	HU	steerable#1 dirigible#1
213	7768318	n	0	0	0	0.125	2011-02-14	IP84	HU	seckel_pear#1 seckel#1
214	1402381	n	0	0	0	0.125	2011-02-14	IP84	HU	phaeophyta#1 division_phaeophyta#1
215	14676608	n	0	0	1	0	2011-02-14	IP84	HU	germanite#1
216	14779082	n	0	0	0	0.375	2011-02-14	IP84	HU	bacteriostat#1
217	10603378	n	0	0	0	0	2011-02-14	IP84	HU	sissy#1 pantywaist#1 pansy#2 milquetoast#1 milksop#1
218	2796207	n	0	0	1	0	2011-02-14	IP84	HU	barrel_vault#1
219	3282295	n	0	0	1	0	2011-02-14	IP84	HU	embassy#1
220	2279972	n	0	0	0.5	0	2011-02-14	IP84	HU	monarch_butterfly#1 monarch#2 milkweed_butterfly#1 danaus_plexippus#1
221	2279972	n	0	0	0.5	0	2011-02-14	IP84	HU	monarch_butterfly#1 monarch#2 milkweed_butterfly#1 danaus_plexippus#1
222	2279972	n	0	0	0.5	0	2011-02-14	IP84	HU	monarch_butterfly#1 monarch#2 milkweed_butterfly#1 danaus_plexippus#1
223	2279972	n	0	0	0.5	0	2011-02-14	IP84	HU	monarch_butterfly#1 monarch#2 milkweed_butterfly#1 danaus_plexippus#1
224	2279972	n	0	0	0.25	0	2011-02-14	IP84	HU	monarch_butterfly#1 monarch#2 milkweed_butterfly#1 danaus_plexippus#1
225	1797020	n	0	0	0	0	2011-02-14	IP84	HU	tetrao_urogallus#1 horse_of_the_wood#1 capercailzie#1 capercaillie#1
226	1797020	n	0	0	0	0	2011-02-14	IP84	HU	tetrao_urogallus#1 horse_of_the_wood#1 capercailzie#1 capercaillie#1
227	1797020	n	0	0	0	0.125	2011-02-14	IP84	HU	tetrao_urogallus#1 horse_of_the_wood#1 capercailzie#1 capercaillie#1
228	1797020	n	0	0	0	0.125	2011-02-14	IP84	HU	tetrao_urogallus#1 horse_of_the_wood#1 capercailzie#1 capercaillie#1
229	1797020	n	0	0	0	0.125	2011-02-14	IP84	HU	tetrao_urogallus#1 horse_of_the_wood#1 capercailzie#1 capercaillie#1
230	2858044	n	0	0	0	0	2011-02-14	IP84	HU	boards#1
231	6531481	n	0	0	0	0	2011-02-14	IP84	HU	letters_of_administration#1
232	14750782	n	0	0	0	0	2011-02-14	IP84	HU	theelin#1 oestrone#1 estronol#1 estrone#1
233	174150	a	0	0	0	0	2011-02-14	IP84	HU	sonic#2
234	174150	a	0	0	0	0	2011-02-14	IP84	HU	sonic#2
235	174150	a	0	0	0	0	2011-02-14	IP84	HU	sonic#2
236	964781	n	0	0.125	0	0.125	2011-02-14	IP84	HU	hostilities#1 belligerency#2
237	5098942	n	0.125	0.375	0.125	0.375	2011-02-14	IP84	HU	size#1
238	2191427	a	0	0	0	0	2011-02-14	IP84	HU	lii#1 fifty-two#1 52#1
239	4599396	n	0	0	0	0.75	2011-02-14	IP84	HU	work#2 piece_of_work#1
240	9382726	n	0	0	0	0	2011-02-14	IP84	HU	ozonosphere#1 ozone_layer#1
241	9382726	n	0	0	0	0	2011-02-14	IP84	HU	ozonosphere#1 ozone_layer#1
242	9382726	n	0	0	0	0	2011-02-14	IP84	HU	ozonosphere#1 ozone_layer#1
243	5599617	n	0	0	0	0	2011-02-14	IP84	HU	mentum#2 chin#1
244	188510	r	0	0	0	0	2011-02-14	IP84	HU	viz.#1 videlicet#1 to_wit#1 that_is_to_say#1 namely#1
245	3469175	n	0.375	0	0.375	0	2011-02-14	IP84	HU	turret#2 gun_turret#1 gun_enclosure#1
246	361125	a	0.25	0	0.25	0	2011-02-14	IP84	HU	virtuous#2 virginal#3 virgin#2 vestal#2 pure#7
247	3631445	n	0	0	0	0	2011-02-14	IP84	HU	lacing#2 lace#1
248	10313000	n	0	0	0.25	0.125	2011-02-15	IP85	IN	metis#1
249	1926840	n	0	0	0	0	2011-02-16	IP86	FI	schistosomatidae#1 family_schistosomatidae#1
250	1148283	a	0.875	0	0.875	0	2011-02-17	IP87	DE	happy#1
251	219809	a	0.625	0	0.625	0	2011-02-18	IP88	KR	lovely#1
252	2233390	a	0	0	0.625	0.375	2011-02-20	IP89	AU	small-grained#1 pulverized#1 pulverised#1 powdery#1 powdered#1 fine-grained#1
253	703926	n	0.125	0	0.125	0	2011-02-21	IP90	KR	family_therapy#1
254	2994012	n	0.125	0	0.125	0	2011-02-21	IP90	KR	sliding_keel#1 drop_keel#1 centreboard#1 centerboard#1
255	446758	a	0.125	0	0.125	0	2011-02-22	IP91	IN	yonder#1 yon#1
256	446758	a	0.125	0	0.375	0	2011-02-22	IP91	IN	yonder#1 yon#1
257	5272423	n	0	0.125	0	0.125	2011-02-22	IP91	IN	semilunar_bone#1 os_lunatum#1 lunate_bone#1
258	3338143	n	0	0	0	0	2011-02-22	IP92	GB	stopping#1 fillet#5
259	11012042	n	0	0	0	0	2011-02-24	IP93	FR	stephane_grappelli#1 grappelli#1
260	10060352	n	0	0	1	0	2011-02-24	IP93	FR	entrepreneur#1 enterpriser#1
261	1828736	v	1	0	1	0	2011-02-25	IP94	xx	love#2 enjoy#3
262	3602081	n	0	0	0	0	2011-02-25	IP95	IT	jolly_boat#1 jolly#2
263	398271	a	0	0	0	0	2011-02-25	IP96	xx	honey-coloured#1 honey-colored#1
264	1485971	a	0.25	0.75	0.75	0.125	2011-02-26	IP97	BE	unfeminine#1
265	6305610	n	0	0	0	0	2011-02-26	IP98	FR	reduplication#2
266	2827950	a	0	0	0	0	2011-02-26	IP98	FR	hydroelectric#1
267	1630673	a	0	0.125	0	0.5	2011-02-26	IP99	DE	antitank#1
268	937656	n	0	0	0	0	2011-02-26	IP99	DE	sculpture#2 carving#3
269	14651212	n	0	0	0	0	2011-02-27	IP100	JP	praseodymium#1 pr#1 atomic_number_59#1
270	13058037	n	0	0	0	0	2011-02-28	IP101	IE	fuscoboletinus_paluster#1
271	7727252	n	0	0	0	0	2011-02-28	IP101	IE	pinto_bean#1
272	2437685	a	0	0	0	0	2011-03-01	IP102	xx	polytonal#1
273	157268	a	0.125	0.25	0.125	0.25	2011-03-01	IP103	xx	self-effacing#1 retiring#3 reticent#3
274	13705929	n	0	0	1	0	2011-03-01	IP104	BR	schilling#1 austrian_schilling#1
275	280787	v	0	0	0	0	2011-03-02	IP105	IE	melanize#1 melanise#1
276	2460684	n	0	0	0	0	2011-03-04	IP106	xx	genus_cyclopes#1 cyclopes#1
